Date       ,Season               ,Day Name                     ,Meditation        ,OT Reading                               ,NT Reading
2024-06-24 ,Second Ordinary Time ,Monday of Week 5             ,Psalm             ,1 Kings 14-16;1 Kings 17-19              ,
2024-06-25 ,Second Ordinary Time ,Tuesday of Week 5            ,Psalm             ,1 Kings 20-22                            ,
2024-06-26 ,Second Ordinary Time ,Wednesday of Week 5          ,Psalm             ,2 Kings 1-3;2 Kings 4-7                  ,
2024-06-27 ,Second Ordinary Time ,Thursday of Week 5           ,Psalm             ,2 Kings 8-11;2 Kings 12-14               ,
2024-06-28 ,Second Ordinary Time ,Friday of Week 5             ,Psalm             ,2 Kings 15-17;2 Kings 18-19              ,
2024-06-29 ,Second Ordinary Time ,Saturday of Week 5           ,Psalm             ,2 Kings 20-22;2 Kings 23-25              ,
2024-06-30 ,Second Ordinary Time ,6th Sunday                   ,Psalm             ,                                         ,
2024-07-01 ,Second Ordinary Time ,Monday of Week 6             ,Psalm             ,Isaiah 1-4;Isaiah 5-8                    ,
2024-07-02 ,Second Ordinary Time ,Tuesday of Week 6            ,Psalm             ,Isaiah 9-12;Isaiah 13-17                 ,
2024-07-03 ,Second Ordinary Time ,Wednesday of Week 6          ,Psalm             ,Isaiah 18-22;Isaiah 23-27                ,
2024-07-04 ,Second Ordinary Time ,Thursday of Week 6           ,Psalm             ,Isaiah 28-30;Isaiah 31-35                ,
2024-07-05 ,Second Ordinary Time ,Friday of Week 6             ,Psalm             ,Isaiah 36-38;Isaiah 39-41                ,
2024-07-06 ,Second Ordinary Time ,Saturday of Week 6           ,Psalm             ,Isaiah 42-44;Isaiah 45-48                ,
2024-07-07 ,Second Ordinary Time ,7th Sunday                   ,Psalm             ,Isaiah 49-51;Isaiah 52-54                ,
2024-07-08 ,Second Ordinary Time ,Monday of Week 7             ,Psalm             ,Isaiah 55-57;Isaiah 58-60                ,
2024-07-09 ,Second Ordinary Time ,Tuesday of Week 7            ,Psalm             ,Isaiah 61-64;Isaiah 65-66                ,
2024-07-10 ,Second Ordinary Time ,Wednesday of Week 7          ,Psalm             ,                                         ,
2024-07-11 ,Second Ordinary Time ,Thursday of Week 7           ,Psalm             ,Jeremiah 1-3;Jeremiah 4-6                ,
2024-07-12 ,Second Ordinary Time ,Friday of Week 7             ,Psalm             ,Jeremiah 7-9;Jeremiah 10-13              ,
2024-07-13 ,Second Ordinary Time ,Saturday of Week 7           ,Psalm             ,Jeremiah 14-17;Jeremiah 18-22            ,
2024-07-14 ,Second Ordinary Time ,8th Sunday                   ,Psalm             ,Jeremiah 23-25;Jeremiah 26-29            ,
2024-07-15 ,Second Ordinary Time ,Monday of Week 8             ,Psalm             ,Jeremiah 30-32;Jeremiah 33-36            ,
2024-07-16 ,Second Ordinary Time ,Tuesday of Week 8            ,Psalm             ,Jeremiah 37-39;Jeremiah 40-44            ,
2024-07-17 ,Second Ordinary Time ,Wednesday of Week 8          ,Psalm             ,Jeremiah 45-48;Jeremiah 49-50            ,
2024-07-18 ,Second Ordinary Time ,Thursday of Week 8           ,Psalm             ,Jeremiah 51-52                           ,
2024-07-19 ,Second Ordinary Time ,Friday of Week 8             ,Psalm             ,                                         ,
2024-07-20 ,Second Ordinary Time ,Saturday of Week 8           ,Psalm             ,Ezekiel 1-4;Ezekiel 5-8                  ,
2024-07-21 ,Second Ordinary Time ,9th Sunday                   ,Psalm             ,Ezekiel 9-12;Ezekiel 13-15               ,
2024-07-22 ,Second Ordinary Time ,Monday of Week 9             ,Psalm             ,Ezekiel 16-18;Ezekiel 19-21              ,
2024-07-23 ,Second Ordinary Time ,Tuesday of Week 9            ,Psalm             ,Ezekiel 22-24;Ezekiel 25-27              ,
2024-07-24 ,Second Ordinary Time ,Wednesday of Week 9          ,Psalm             ,Ezekiel 28-30;Ezekiel 31-33              ,
2024-07-25 ,Second Ordinary Time ,Thursday of Week 9           ,Psalm             ,Ezekiel 34-36;Ezekiel 37-39              ,
2024-07-26 ,Second Ordinary Time ,Friday of Week 9             ,Psalm             ,Ezekiel 40-44;Ezekiel 45-48              ,
